readsum,Group.1,Accipiter,Accipiter nisus,Accipiter superciliosus,Accipitrinae,Aechmophorus occidentalis,Alcidae,Anas platyrhynchos,Anatidae,Anatinae,Asarcornis scutulata,Aythya,Buteo,Cepphus grylle,Charadriiformes,Chenonetta jubata,Ciconia,Corythaeola cristata,Dendrocygna,Fulmarus glacialis,Gruidae,Junco hyemalis,Lagopus,Melanitta,Milvus,Morus serrator,Musophagidae,Neognathae,Pelecaniformes,Phalacrocorax,Plegadis chihi,Podiceps nigricollis,Podicipedidae,Procellariidae,Pteronetta hartlaubii,Stercorarius longicaudus,Sula,Sula sula rubripes,Tetraoninae,Uria,Uria aalge
199590,BBO011_2_s_2,0,0,0,0,0,0,0,0,0,0,0,0,95697,103893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2331878,BBO011_s_1,0,0,0,0,0,0,0,0,0,0,0,0,2331013,865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286127,BBO016BR1_2_s_2,0,0,0,129061,0,0,0,87216,0,0,0,0,0,0,0,0,0,0,6835,284,0,17623,0,0,0,0,33104,0,0,0,0,0,0,0,0,0,0,11023,981,0
946716,BBO016BR1_s_1,0,0,0,330211,0,0,0,318946,0,0,0,0,0,0,0,0,0,0,26787,439,0,30499,0,0,0,0,171964,0,0,0,0,0,0,0,0,0,0,67870,0,0
147332,BBO016BR2_2_s_2,0,0,0,46132,0,0,0,60700,0,0,0,3643,0,0,0,0,0,0,0,0,0,5937,0,0,0,0,24935,0,0,0,0,0,0,0,0,0,0,5985,0,0
375198,BBO016BR2_s_1,0,0,0,137460,0,0,0,143425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55684,0,16789,0,0,0,0,0,0,0,0,20972,868,0
670879,BBO016BR3_2_s_2,0,0,0,126167,0,0,0,372394,0,0,0,0,0,0,0,0,0,0,0,0,0,293,0,0,0,0,4727,0,0,0,0,201,0,0,0,0,0,85008,82089,0
418451,BBO016BR3_s_1,0,0,0,1144,0,0,0,441,0,0,0,0,0,0,0,0,0,0,0,0,0,307794,0,0,0,0,107504,0,0,0,0,0,0,0,0,0,0,1568,0,0
753788,BBO019_2_s_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,753510,0,0,0,0,0,0,0,0,0,0,0
351160,BBO019_s_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69056,282104,0,0,0,0,0,0,0,0,0,0,0
69913,BBO021_2_s_2,0,0,0,0,0,0,0,0,0,0,0,0,0,2040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67873,0
330891,BBO021_s_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330891,0
586429,BBO025_2_s_2,0,0,0,0,0,0,0,586429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266580,BBO025_s_1,0,0,0,0,0,0,0,266580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8620,BBO026BR1_s_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8620
325,BBO026BR2_2_s_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325
1695312,BBO026BR2_s_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2042,1693270
8467905,BBO035_2_s_2,0,0,0,0,0,0,0,7552855,0,0,293986,0,0,0,0,0,0,0,0,0,0,654,0,0,0,0,1190,0,0,0,0,0,0,0,0,0,0,619220,0,0
111943,BBO035_s_1,0,0,0,0,0,0,0,99412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4065,0,0,0,0,0,0,0,0,0,0,8466,0,0
