Group.1;Accipitrinae;Alca torda;Anatidae;Aythya;Bucephala;Buteo;Cepphus grylle;Charadriiformes;Clangula hyemalis;Corvidae;Corvus;Fratercula arctica;Fringillidae;Fulmarus glacialis;Gruidae;Haliaeetus;Lagopus;Lagopus muta;Laridae;Melanitta deglandi;Milvus;Neognathae;Pelecaniformes;Phalacrocorax;Podicipedidae;Somateria;Somateria spectabilis;Tetraoninae;Uria;Uria aalge
BB0219BR1;0;0;26672;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6787;0;0;0;0;0;0;0;0
BB0219BR2;0;0;35359;0;210;0;742;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3329;0;0;0;0;0;0;0;0
BB0219BR3;0;0;22308;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2677;0;0;0;0;0;0;0;0;0
BBO202NBR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42354;0;0;0;0;0;0;0;0;0;0;0
BBO215BR1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38614;0
BBO215BR2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22954;0;0;0;0;0;0;0;0;0;0;0;0;0
BBO216BR1;0;0;34820;0;0;0;0;0;0;0;0;0;0;0;0;0;1213;0;0;0;0;0;0;0;0;0;0;0;0;0
BBO216BR2;0;0;8125;0;0;0;0;0;0;0;0;0;0;0;0;0;2464;0;1146;0;0;0;0;0;0;0;0;0;0;0
BBO217BR1;0;0;64419;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BBO217BR2;0;0;33486;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BBO217BR3;0;0;11709;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
