readsum,Group.1,Acanthomorphata,Bassozetus zenkevitchi,Boreogadus saida,Ceratioidei,Cheilio inermis,Clupeocephala,Ctenosquamata,Euacanthomorphacea,Euclichthys polynemus,Eupercaria,Euteleosteomorpha,Gadidae,Gadiformes,Gadoidei,Gaidropsarus,Geophagus,Gobiidae,Maccullochella macquariensis,Macquaria ambigua,Molva molva,Muraenolepis,Neoteleostei,Osphronemidae,Pelmatochromis buettikoferi,Perca,Perciformes,Percomorphaceae,Pteroinae,Raniceps raninus,Scorpaenoidei,Sebastes aurora,Sebastinae,Sebastiscus marmoratus,Trisopterus,Zeus faber
795192,BBO010_2_s_2,0,0,0,0,0,0,0,0,0,0,0,744286,0,50906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135683,BBO010_s_1,0,0,0,0,0,0,0,0,0,0,0,130509,0,5174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
474841,BBO015_2_s_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,691,0,0,0,0,474150,0,0,0
194918,BBO015_s_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194918,0,0,0
149099,BBO016BR3_2_s_2,0,0,0,0,0,0,0,0,0,0,0,148839,0,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
821,BBO021_2_s_2,0,0,0,0,0,0,0,0,0,0,0,821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9238,BBO021_s_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9238,0,0,0,0,0,0,0,0,0
293763,BBO025_2_s_2,0,0,0,0,0,0,0,0,0,0,0,278030,0,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15359,0,0,0
299379,BBO027_2_s_2,0,0,0,0,0,0,0,0,0,0,0,248870,0,50509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4868221,BBO027_s_1,0,0,0,0,0,0,0,0,0,0,0,4456096,0,412125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1281605,BBO029_2_s_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1664,0,0,0,0,1279509,432,0,0
663090,BBO029_s_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,0,0,0,0,330500,332349,0,0
252645,BBO035_2_s_2,0,0,0,0,0,0,0,0,0,0,0,252645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
