Group.1,Alburnus alburnus,Cyprinidae,Cyprinoidei,Gadidae,Gadoidei,Leuciscinae,Melanogrammus aeglefinus,Molva molva,Perciformes,Percomorphaceae,Salmonidae,Salvelinus,Sebastinae,Sebastiscus marmoratus,Thymallus,Trachinus draco,Zoarcales
AB065EB1,0,0,0,0,0,136214,0,0,0,0,0,0,0,0,0,0,0
BBO010,0,0,0,279,0,0,710405,0,0,0,0,0,0,0,0,0,0
BBO014,0,0,0,0,0,0,32881,0,0,0,28138,0,0,0,0,224,0
BBO015,0,0,0,0,0,0,11944,0,0,0,250,0,0,0,3181,0,0
BBO016,4446,0,0,4304,3707,0,63319,0,0,0,0,0,0,0,0,0,0
BBO020,0,0,0,1823,0,0,24451,0,0,0,0,0,0,0,0,0,0
BBO021,2881,0,0,0,0,2906,98423,0,0,0,0,0,0,0,0,0,0
BBO0221,0,0,0,4456096,412125,0,0,0,0,1905,0,0,1610009,332781,0,0,0
BBO025,0,0,0,20104,0,0,92562,0,0,0,0,0,0,0,0,0,0
BBO027,0,39806,313,1678,0,774,5489,0,0,0,0,0,0,0,0,0,0
BBO029,8279,0,0,0,0,13536,0,46040,0,0,0,0,0,0,0,0,0
BBO035,0,0,0,744286,50906,0,0,0,0,0,0,0,0,0,0,0,0
BBO203,0,0,0,130509,5174,0,0,0,0,0,0,0,0,0,0,0,0
BBO205,0,0,0,0,0,0,0,0,0,691,0,0,474150,0,0,0,0
BBO207,0,0,0,0,0,0,0,0,0,0,0,0,194918,0,0,0,0
BBO208,0,0,0,363294,260,0,0,0,0,0,0,0,0,0,0,0,0
BBO213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4603
BBO217,0,0,0,203413,0,0,0,0,9238,0,0,0,0,0,0,0,0
BBO218,0,0,0,278517,374,0,0,0,0,0,0,0,15359,0,0,0,0
BBO220,0,0,0,248870,50509,0,0,0,0,0,0,0,0,0,0,0,0
BBO222,0,0,0,252645,0,0,0,0,0,0,0,0,0,0,0,0,0
BBO224,0,0,0,12729,0,0,0,0,0,0,0,0,0,0,0,0,0
BBO225,0,0,0,0,0,0,0,0,0,0,208,335,0,0,0,0,0
NOC040,0,0,0,5087,0,0,0,0,0,0,0,0,0,0,0,0,0
