Group.1;Balaena mysticetus;Balaenoptera;Canis lupus;Dicrostonyx torquatus;Erignathus barbatus;Lepus;Mysticeti;Odobenus rosmarus;Phocoena phocoena;Pusa hispida;Rangifer tarandus;Ursus;Vulpes lagopus
AB062EXB2;0;0;0;0;0;0;0;0;0;0;0;0;0
BBO010NBR;0;0;0;0;0;0;0;0;0;0;0;0;0
BBO020BR1;0;0;0;177962;0;0;0;0;0;0;41626;23404;5021
BBO020BR2;0;0;0;6733;0;0;0;0;0;0;23482;4266;0
BBO020BR3;0;0;1953;10075;0;0;0;0;0;0;18871;5895;6611
BBO021NBR;0;0;0;0;0;0;0;0;0;0;0;0;0
BBO209BR1;0;0;0;0;0;0;0;27772;0;0;0;0;0
BBO209BR2;0;0;0;0;0;0;0;674949;0;0;0;0;0
BBO209BR3;0;0;0;0;0;0;0;14407;0;0;0;0;0
BBO210BR1;0;0;0;0;0;0;0;0;0;0;43109;0;0
BBO210BR2;0;0;0;0;0;0;0;0;0;0;38953;0;0
BBO210BR3;0;0;0;0;0;0;0;0;0;0;36632;0;0
BBO211NBR;0;0;0;0;0;0;0;0;0;0;0;0;0
BBO213BR1;0;0;0;0;0;0;0;0;0;0;192184;0;0
BBO213BR2;0;0;0;33647;0;0;0;0;0;0;49193;0;0
BBO213BR3;0;0;0;7227;0;0;0;0;0;0;5039;0;0
BBO214BR1;0;0;0;0;0;0;0;9960;0;0;4198;0;0
BBO214BR2;0;0;0;0;0;0;0;12252;0;0;23801;0;0
BBO214BR3;0;0;0;0;0;0;0;133802;0;0;0;0;0
BBO215BR1;0;0;0;0;0;0;0;15348;0;0;0;0;0
BBO215BR2;0;0;0;0;0;0;0;20937;0;0;224;0;0
BBO215BR3;0;0;0;0;0;0;0;5578;0;0;0;34706;0
BBO216BR1;0;0;0;0;0;0;0;0;0;0;6312;0;0
BBO216BR2;0;0;0;0;0;0;0;0;1596;0;19088;0;0
BBO217BR1;27142;0;0;0;0;0;0;0;0;0;0;0;0
BBO217BR2;3958;0;0;0;0;0;0;0;3475;0;4156;0;0
BBO217BR3;8508;0;0;0;0;0;0;6351;0;0;6369;0;0
BBO218BR1;0;0;0;0;0;0;0;26995;0;0;10915;0;0
BBO218BR2;0;0;0;0;0;0;0;14068;0;0;11121;0;0
BBO218BR3;0;0;0;0;0;0;0;16764;0;0;14960;0;0
BBO219BR1;0;0;0;11950;0;0;0;0;0;0;12257;314;0
BBO219BR2;0;0;0;6886;0;0;8558;0;0;3490;25596;0;0
BBO219BR3;0;0;0;10323;0;0;8860;3027;0;1143;21622;5000;0
BBO220BR1;0;0;0;3084;0;0;0;0;0;0;36707;0;0
BBO220BR2;0;0;0;2232;0;0;0;0;0;0;39154;0;0
BBO221BR1;0;0;0;0;0;30428;79082;11941;0;0;253180;281264;299743
BBO221BR2;0;0;0;398;0;0;0;0;201;0;4925;3483;3017
BBO221BR3;0;0;0;0;0;565;358;0;0;0;5663;419;648
BBO222NBR;0;0;0;33442;0;0;0;0;0;0;0;0;0
BBO223NBR;0;0;0;19305;0;0;0;0;0;0;6771;0;0
BBO224NBR;0;0;0;0;0;0;0;0;0;0;0;0;0
BBO225NBR;0;0;0;0;0;0;0;0;0;0;0;0;0
NOC013NBR;0;0;0;0;0;0;0;0;0;0;0;39207;0
NOC039NBR;0;0;0;0;0;63124;0;0;0;0;0;0;0
NOC040NBR;0;0;0;0;0;40080;0;0;0;0;0;0;0
BBO014BR1_s_1;0;0;0;606743;0;0;0;55919;0;0;26813;224834;0
BBO014BR1_s_2;0;0;0;724738;0;0;0;5676;0;0;36682;154622;0
BBO014BR2_s_1;0;0;0;321468;0;0;0;0;0;0;102691;122061;8300
BBO014BR2_s_2;0;0;0;324115;0;0;0;0;0;0;141442;66857;0
BBO014BR3_s_1;90784;0;0;216049;0;0;55920;0;0;0;166437;0;0
BBO014BR3_s_2;16693;0;0;43419;0;0;0;0;0;0;39122;0;0
BBO016BR1_s_1;0;0;0;198122;0;0;0;0;6722;0;21916;48577;6849
BBO016BR1_s_2;0;0;0;269337;0;0;0;0;4105;0;28053;46115;7379
BBO016BR2_s_1;0;0;0;275641;0;0;0;0;2657;0;0;74457;0
BBO016BR2_s_2;0;0;0;86432;0;0;0;0;0;0;1035;22456;0
BBO016BR3_s_1;0;0;0;684168;0;0;0;0;24172;0;0;83863;0
BBO016BR3_s_2;0;0;0;500527;0;0;0;0;9073;0;8219;41604;0
BBO024BR1_2_s_2;31908;0;0;92251;7260;0;3516;0;0;0;36885;0;0
BBO024BR1_s_1;12181;0;0;477073;10909;0;0;0;0;0;259159;21955;0
BBO024BR2_2_s_2;69169;0;0;48774;0;0;0;0;0;0;12292;0;0
BBO024BR2_s_1;87534;5293;0;332169;48433;0;12261;0;0;0;236079;0;0
BBO025_2_s_2;0;0;0;16911;0;0;0;0;0;0;0;170178;0
BBO025_s_1;175477;0;0;124927;0;0;0;0;0;0;49250;0;0
BBO029_s_2;0;0;0;0;0;0;0;0;0;0;0;0;0
BBO030_2_s_2;0;0;0;31377;0;0;0;0;0;0;127621;0;0
BBO030_s_1;0;0;0;27236;0;0;0;0;0;0;0;27003;0
BBO035_s_1;0;0;0;0;0;0;0;0;0;0;30904;0;0
