Group.1,Balaena mysticetus,Balaenoptera,Canis lupus,Dicrostonyx torquatus,Erignathus barbatus,Lepus,Mysticeti,Odobenus rosmarus,Phocoena phocoena,Pusa hispida,Rangifer tarandus,Ursus,Vulpes lagopus
K1,107477,0,0,541791,0,0,55920,53044,6722,0,667849,48891,6849
K2,0,0,0,0,0,0,0,170087,0,0,224,0,0
KL,0,0,0,1370321,0,0,0,5676,0,0,280815,343540,8300
L1,0,0,0,651703,0,0,17418,8605,6762,4633,143917,182734,7379
L2,0,0,1953,1381697,0,0,0,717128,34841,0,269134,159032,11632
LU,152866,0,0,618496,18169,30993,82956,45287,3676,0,593544,307121,303408
N/A,0,0,0,0,0,0,0,0,0,0,6312,0,0
Q1,0,0,0,0,0,0,0,0,0,0,0,0,0
U1,87534,5293,0,332169,48433,0,12261,0,0,0,236079,0,0
U3,0,0,0,16911,0,0,0,0,0,0,0,170178,0
U9,175477,0,0,124927,0,0,0,0,0,0,49250,0,0
Y1,0,0,0,52747,0,63124,0,0,0,0,6771,39207,0
Z1,0,0,0,633979,0,40080,0,55919,0,0,26813,251837,0
