readsum,Group.1,Anarrhichthys ocellatus,Balaena mysticetus,Balaenoptera,Bilateria,Canis,Canis lupus,Cepphus grylle,Cervidae,Cervinae,Clangula hyemalis,Dicrostonyx torquatus,Erignathus barbatus,Gadidae,Gadoidei,Gadus morhua,Haliaeetus,Homo heidelbergensis,Lagopus,Lagopus muta,Larus,Mysticeti,Odobenus rosmarus,Odocoileinae,Odocoileus hemionus hemionus,Phocoena phocoena,Rangifer tarandus,Salmonidae,Salmoninae,Salvelinus,Sebastes,Somateria,Somateria spectabilis,Tetraoninae,Uria lomvia lomvia,Ursus,Ursus arctos,Vulpes lagopus,Zoarcales
166819,AB042P3_pb_2,0,8622,0,0,0,0,0,0,0,0,101620,0,0,0,0,0,0,0,0,0,326,0,0,0,0,49009,0,0,0,0,0,0,0,0,7242,0,0,0
156048,BBO010_2_s_2,0,0,0,4284,0,0,0,0,0,0,116634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23710,0,0,0,0,0,0,0,0,11420,0,0,0
919640,BBO010_s_1,0,0,0,0,0,0,0,0,0,0,0,0,919640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1170307,BBO014BR1_s_1,0,0,0,0,0,0,0,0,0,0,835910,0,0,0,0,0,0,0,0,0,0,56001,0,0,0,26874,0,0,0,0,0,0,0,0,251522,0,0,0
1159718,BBO014BR1_s_2,0,0,0,0,0,0,0,0,0,0,940506,0,12729,0,0,0,0,0,0,0,0,5722,0,0,0,36796,0,0,0,0,0,0,0,0,163965,0,0,0
653028,BBO014BR2_s_1,0,0,0,15616,0,0,0,0,0,0,367956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120871,208,0,335,0,0,0,682,0,138859,0,8501,0
607460,BBO014BR2_s_2,0,0,0,8184,0,0,0,0,0,0,390011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141907,0,0,0,0,0,0,0,0,67358,0,0,0
533644,BBO014BR3_s_1,0,90813,0,0,0,0,0,0,0,0,217703,0,0,0,0,0,0,0,0,0,56710,0,0,0,0,167641,0,0,0,0,0,777,0,0,0,0,0,0
120574,BBO014BR3_s_2,0,16698,0,0,0,0,0,0,0,0,45496,0,0,0,0,0,0,0,0,0,1222,15716,0,0,0,41442,0,0,0,0,0,0,0,0,0,0,0,0
323070,BBO016BR1_s_1,0,0,0,298,0,0,0,0,0,0,229840,0,0,0,0,0,0,0,0,0,0,0,0,0,6777,26557,0,0,0,0,0,0,0,0,48803,0,10795,0
