readsum,Group.1,Alburnus alburnus,Anatinae,Balaena mysticetus,Balaenoptera,Bilateria,Bimastos rubidus,Canis,Canis lupus,Cepphus grylle,Cervidae,Chamaedrilus sphagnetorum,Clangula hyemalis,Corvus,Cottus,Dicrostonyx torquatus,Epirinus aquilus,Gadidae,Gorilla gorilla,Homo heidelbergensis,Lagopus muta,Laridae,Lepus,Lepus granatensis,Leuciscidae,Leuciscinae,Lotidae,Melanogrammus aeglefinus,Merlangius merlangus,Molva molva,Mysticeti,Odobenus rosmarus,Odobenus rosmarus rosmarus,Odocoileinae,Odocoileus,Odocoileus hemionus hemionus,Ovis,Pan troglodytes,Phascolosoma esculenta,Phocidae,Phocoena phocoena,Pollachius virens,Pudu puda,Pusa,Pusa hispida,Rangifer tarandus,Somateria,Somateria spectabilis,Sus,Sus scrofa,Tetraoninae,Uria aalge,Ursus,Vulpes lagopus,Zoarcales
226617,AB062EXB2,0,0,0,0,226617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208995,BBO010NBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
328135,BBO020BR1,0,0,0,0,40586,0,0,0,0,0,0,0,0,0,205005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44482,0,0,0,0,0,0,23638,9821,4603
44324,BBO020BR2,0,0,0,0,8210,0,0,0,0,0,0,0,0,0,6785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25007,0,0,0,0,0,0,4322,0,0
52321,BBO020BR3,0,0,0,0,7399,0,0,1953,0,0,0,0,0,0,10121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20204,0,0,0,0,0,0,5953,6691,0
202592,BBO021NBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27884,BBO209BR1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
742610,BBO209BR2,0,0,0,0,59104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,683506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19511,BBO209BR3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51350,BBO210BR1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8002,0,0,0,0,0,0,0,0,43348,0,0,0,0,0,0,0,0,0
39317,BBO210BR2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39317,0,0,0,0,0,0,0,0,0
38995,BBO210BR3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38995,0,0,0,0,0,0,0,0,0
26847,BBO211NBR,0,0,0,0,26463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193880,BBO213BR1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193880,0,0,0,0,0,0,0,0,0
103445,BBO213BR2,0,0,0,0,1792,0,0,0,0,0,0,0,0,0,46108,0,0,0,0,0,0,0,0,0,0,0,6226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49319,0,0,0,0,0,0,0,0,0
14368,BBO213BR3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5460,0,0,0,0,0,0,0,0,0
16082,BBO214BR1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11839,0,0,0,0,0,0,0,0,0,0,0,0,0,4243,0,0,0,0,0,0,0,0,0
41449,BBO214BR2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12292,0,0,0,0,0,0,0,0,0,0,0,0,0,29157,0,0,0,0,0,0,0,0,0
