readsum,Group.1,Balaena mysticetus,Balaenoptera,Bilateria,Canis,Canis lupus,Cepphus grylle,Clangula hyemalis,Dicrostonyx torquatus,Erignathus barbatus,Gadidae,Gadus morhua,Haliaeetus,Homo heidelbergensis,Lagopus,Lagopus muta,Larus,Mysticeti,Odobenus rosmarus,Phocoena phocoena,Rangifer tarandus,Salvelinus,Sebastes,Somateria,Somateria spectabilis,Ursus,Ursus arctos,Vulpes lagopus,Zoarcales
149505,AB042P3_pb_2,8612,0,0,0,0,0,0,91705,0,0,0,0,0,0,0,0,0,0,0,44809,0,0,0,0,4379,0,0,0
139618,BBO010_2_s_2,0,0,4183,0,0,0,0,104212,0,0,0,0,0,0,0,0,0,0,0,19861,0,0,0,0,11362,0,0,0
894690,BBO010_s_1,0,0,0,0,0,0,0,0,0,894690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
914309,BBO014BR1_s_1,0,0,0,0,0,0,0,606743,0,0,0,0,0,0,0,0,0,55919,0,26813,0,0,0,0,224834,0,0,0
921718,BBO014BR1_s_2,0,0,0,0,0,0,0,724738,0,0,0,0,0,0,0,0,0,5676,0,36682,0,0,0,0,154622,0,0,0
570324,BBO014BR2_s_1,0,0,15469,0,0,0,0,321468,0,0,0,0,0,0,0,0,0,0,0,102691,335,0,0,0,122061,0,8300,0
540540,BBO014BR2_s_2,0,0,8126,0,0,0,0,324115,0,0,0,0,0,0,0,0,0,0,0,141442,0,0,0,0,66857,0,0,0
529967,BBO014BR3_s_1,90784,0,0,0,0,0,0,216049,0,0,0,0,0,0,0,0,55920,0,0,166437,0,0,0,777,0,0,0,0
99234,BBO014BR3_s_2,16693,0,0,0,0,0,0,43419,0,0,0,0,0,0,0,0,0,0,0,39122,0,0,0,0,0,0,0,0
282480,BBO016BR1_s_1,0,0,294,0,0,0,0,198122,0,0,0,0,0,0,0,0,0,0,6722,21916,0,0,0,0,48577,0,6849,0
354989,BBO016BR1_s_2,0,0,0,0,0,0,0,269337,0,0,0,0,0,0,0,0,0,0,4105,28053,0,0,0,0,46115,0,7379,0
364243,BBO016BR2_s_1,0,0,9946,0,0,0,0,275641,0,0,0,515,0,0,390,0,0,0,2657,0,0,0,425,212,74457,0,0,0
109923,BBO016BR2_s_2,0,0,0,0,0,0,0,86432,0,0,0,0,0,0,0,0,0,0,0,1035,0,0,0,0,22456,0,0,0
794302,BBO016BR3_s_1,0,0,2099,0,0,0,0,684168,0,0,0,0,0,0,0,0,0,0,24172,0,0,0,0,0,83863,0,0,0
560964,BBO016BR3_s_2,0,0,0,0,0,0,0,500527,0,0,0,0,0,1541,0,0,0,0,9073,8219,0,0,0,0,41604,0,0,0
308914,BBO020BR1_2_s_2,0,0,12777,0,0,0,0,94405,0,0,0,0,0,0,914,0,0,0,0,189937,0,0,0,0,10881,0,0,0
229363,BBO020BR1_s_1,0,0,5118,0,0,0,0,168662,0,0,0,0,0,0,0,0,0,0,0,34129,0,0,0,0,16507,0,3533,1414
329561,BBO020BR2_2_s_2,0,0,5338,0,20159,0,0,44064,0,0,0,0,0,0,0,0,0,0,0,135835,0,0,0,0,61101,0,63064,0
737357,BBO020BR2_s_1,0,0,65758,0,0,0,0,240157,0,0,0,0,0,0,0,0,0,0,0,425461,0,0,0,0,5981,0,0,0
48902,BBO020BR3_2_s_2,0,0,903,0,0,0,0,0,0,25855,6624,0,0,0,0,0,0,0,0,15520,0,0,0,0,0,0,0,0
800841,BBO020BR3_s_1,0,0,30757,0,17698,0,0,69616,0,0,0,0,0,0,0,0,0,0,0,357348,0,0,0,0,258243,0,67179,0
103817,BBO021_s_1,0,0,0,0,0,0,0,0,0,40060,0,0,0,0,0,0,0,0,0,63757,0,0,0,0,0,0,0,0
172274,BBO024BR1_2_s_2,31908,0,454,0,0,0,0,92251,7260,0,0,0,0,0,0,0,3516,0,0,36885,0,0,0,0,0,0,0,0
781277,BBO024BR1_s_1,12181,0,0,0,0,0,0,477073,10909,0,0,0,0,0,0,0,0,0,0,259159,0,0,0,0,21955,0,0,0
140190,BBO024BR2_2_s_2,69169,0,9955,0,0,0,0,48774,0,0,0,0,0,0,0,0,0,0,0,12292,0,0,0,0,0,0,0,0
721769,BBO024BR2_s_1,87534,5293,0,0,0,0,0,332169,48433,0,0,0,0,0,0,0,12261,0,0,236079,0,0,0,0,0,0,0,0
189339,BBO025_2_s_2,0,0,2250,0,0,0,0,16911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170178,0,0,0
350138,BBO025_s_1,175477,0,0,0,0,0,0,124927,0,484,0,0,0,0,0,0,0,0,0,49250,0,0,0,0,0,0,0,0
194014,BBO029_s_2,0,0,194014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158998,BBO030_2_s_2,0,0,0,0,0,0,0,31377,0,0,0,0,0,0,0,0,0,0,0,127621,0,0,0,0,0,0,0,0
54239,BBO030_s_1,0,0,0,0,0,0,0,27236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27003,0,0,0
31284,BBO035_s_1,0,0,0,0,0,0,380,0,0,0,0,0,0,0,0,0,0,0,0,30904,0,0,0,0,0,0,0,0
