readsum,Group.1,Alburnus alburnus,Balaena mysticetus,Balaenoptera,Bilateria,Bimastos rubidus,Canis,Canis lupus,Cepphus grylle,Chamaedrilus sphagnetorum,Clangula hyemalis,Corvus,Cottus,Dicrostonyx torquatus,Epirinus aquilus,Gadidae,Homo heidelbergensis,Lagopus muta,Lepus,Lepus granatensis,Leuciscinae,Melanogrammus aeglefinus,Molva molva,Mysticeti,Odobenus rosmarus,Odobenus rosmarus rosmarus,Odocoileus hemionus hemionus,Ovis,Pan troglodytes,Phascolosoma esculenta,Phocoena phocoena,Pusa,Pusa hispida,Rangifer tarandus,Somateria,Somateria spectabilis,Sus scrofa,Uria aalge,Ursus,Vulpes lagopus
225773,AB062EXB2,0,0,0,225773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183450,BBO010NBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283109,BBO020BR1,0,0,0,35096,0,0,0,0,0,0,0,0,177962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41626,0,0,0,0,23404,5021
42608,BBO020BR2,0,0,0,8127,0,0,0,0,0,0,0,0,6733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23482,0,0,0,0,4266,0
50749,BBO020BR3,0,0,0,7344,0,0,1953,0,0,0,0,0,10075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18871,0,0,0,0,5895,6611
202159,BBO021NBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27772,BBO209BR1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
733761,BBO209BR2,0,0,0,58812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,674949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14407,BBO209BR3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51037,BBO210BR1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7928,0,0,0,0,0,43109,0,0,0,0,0,0
38953,BBO210BR2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38953,0,0,0,0,0,0
36632,BBO210BR3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36632,0,0,0,0,0,0
8757,BBO211NBR,0,0,0,8757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192184,BBO213BR1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192184,0,0,0,0,0,0
90776,BBO213BR2,0,0,0,1763,0,0,0,0,0,0,0,0,33647,0,0,0,0,0,0,0,6173,0,0,0,0,0,0,0,0,0,0,0,49193,0,0,0,0,0,0
12266,BBO213BR3,0,0,0,0,0,0,0,0,0,0,0,0,7227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5039,0,0,0,0,0,0
14158,BBO214BR1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9960,0,0,0,0,0,0,0,0,4198,0,0,0,0,0,0
36053,BBO214BR2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12252,0,0,0,0,0,0,0,0,23801,0,0,0,0,0,0
185540,BBO214BR3,0,0,0,50865,0,0,0,0,873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15348,BBO215BR1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37414,BBO215BR2,0,0,0,16253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20937,0,0,0,0,0,0,0,0,224,0,0,0,0,0,0
40284,BBO215BR3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5578,0,0,0,0,0,0,0,0,0,0,0,0,0,34706,0
14442,BBO216BR1,0,0,0,8130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6312,0,0,0,0,0,0
26976,BBO216BR2,0,0,0,6292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1596,0,0,19088,0,0,0,0,0,0
34280,BBO217BR1,0,27142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51912,BBO217BR2,0,3958,0,0,0,0,0,0,0,0,0,0,0,0,4240,0,0,0,0,0,36083,0,0,0,0,0,0,0,0,3475,0,0,4156,0,0,0,0,0,0
42673,BBO217BR3,0,8508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21445,0,0,6351,0,0,0,0,0,0,0,0,6369,0,0,0,0,0,0
37910,BBO218BR1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26995,0,0,0,0,0,0,0,0,10915,0,0,0,0,0,0
32020,BBO218BR2,0,0,0,2337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4494,0,0,14068,0,0,0,0,0,0,0,0,11121,0,0,0,0,0,0
31724,BBO218BR3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16764,0,0,0,0,0,0,0,0,14960,0,0,0,0,0,0
24521,BBO219BR1,0,0,0,0,0,0,0,0,0,0,0,0,11950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12257,0,0,0,0,314,0
47902,BBO219BR2,0,0,0,2583,0,0,0,0,0,789,0,0,6886,0,0,0,0,0,0,0,0,0,8558,0,0,0,0,0,0,0,0,3490,25596,0,0,0,0,0,0
50353,BBO219BR3,0,0,0,378,0,0,0,0,0,0,0,0,10323,0,0,0,0,0,0,0,0,0,8860,3027,0,0,0,0,0,0,0,1143,21622,0,0,0,0,5000,0
45522,BBO220BR1,2878,0,0,0,0,0,0,0,0,0,0,0,3084,0,0,0,0,0,0,2853,0,0,0,0,0,0,0,0,0,0,0,0,36707,0,0,0,0,0,0
43611,BBO220BR2,0,0,0,561,0,0,0,0,0,0,1167,0,2232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39154,0,497,0,0,0,0
1023328,BBO221BR1,0,0,0,532,0,0,0,0,0,0,0,0,0,0,0,0,0,30428,0,0,67158,0,79082,11941,0,0,0,0,0,0,0,0,253180,0,0,0,0,281264,299743
16462,BBO221BR2,0,0,0,0,0,0,0,0,0,0,0,0,398,0,0,0,0,0,0,0,2046,0,0,0,0,0,0,0,0,201,0,0,4925,0,0,2392,0,3483,3017
8558,BBO221BR3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,565,0,0,905,0,358,0,0,0,0,0,0,0,0,0,5663,0,0,0,0,419,648
33442,BBO222NBR,0,0,0,0,0,0,0,0,0,0,0,0,33442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26076,BBO223NBR,0,0,0,0,0,0,0,0,0,0,0,0,19305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6771,0,0,0,0,0,0
8278,BBO224NBR,8278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42658,BBO225NBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39207,NOC013NBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39207,0
63124,NOC039NBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44526,NOC040NBR,4446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
