Group.1;Primer;Lab_id;Sample_id;Layer;Year_excavated;Field_id;Cave;X_coord;Y_coord;Group;Type
BB0219BR1;Aves12S;BB0219BR1;BBO219;L1;2022;"B-GR-OL1007-2 ; B-GR-OL1004-2 ; B-GR-OL1006-2 ; B-GR-OL1029-1 ; B-GR-OL1005-3 ; B-GR-OL1037-1 ; B-GR-OL1031-1 ; B-GR-OL1034-1 ; B-GR-OL1032-2 ; B-S-OL1001-1";NO;99;53;Unidentifable;Bulk bone
BB0219BR2;Aves12S;BB0219BR2;BBO219;L1;2022;"B-GR-OL1007-2 ; B-GR-OL1004-2 ; B-GR-OL1006-2 ; B-GR-OL1029-1 ; B-GR-OL1005-3 ; B-GR-OL1037-1 ; B-GR-OL1031-1 ; B-GR-OL1034-1 ; B-GR-OL1032-2 ; B-S-OL1001-1";NO;99;53;Unidentifable;Bulk bone
BB0219BR3;Aves12S;BB0219BR3;BBO219;L1;2022;"B-GR-OL1007-2 ; B-GR-OL1004-2 ; B-GR-OL1006-2 ; B-GR-OL1029-1 ; B-GR-OL1005-3 ; B-GR-OL1037-1 ; B-GR-OL1031-1 ; B-GR-OL1034-1 ; B-GR-OL1032-2 ; B-S-OL1001-1";NO;99;53;Unidentifable;Bulk bone
BBO011_2_s_2;Aves12S;BBO011NBR;BBO011;L2;2021;B-GR-OU3030-01;NO;99;51;Aves;Bulk bone
BBO011_s_1;Aves12S;BBO011NBR;BBO011;L2;2021;B-GR-OU3030-01;NO;99;51;Unidentifable;Bulk bone
BBO014BR2_s_1;Mamp007;BBO014BR2;BBO014;L2;2021;B-GR-OU3001, B-GR-OU3002, B-GR-OU3004, B-GR-OU3005, B-GR-OU3008, B-GR-OU3016, B-GR-OU3017-1, B-GR-OU3022, B-GR-OU3023, B-GR-OU3025, B-GR-OU3028, B-GR-OU3029, B-GR-OU3031, B-GR-OU3032, B-GR-OU3033, B-GR-OU3033, B-GR-OU3034;NO;99;51;Mammal;Bulk bone
BBO014BR3_s_1;Mamp007;BBO014BR3;BBO014;L2;2021;B-GR-OU3001, B-GR-OU3002, B-GR-OU3004, B-GR-OU3005, B-GR-OU3008, B-GR-OU3016, B-GR-OU3017-1, B-GR-OU3022, B-GR-OU3023, B-GR-OU3025, B-GR-OU3028, B-GR-OU3029, B-GR-OU3031, B-GR-OU3032, B-GR-OU3033, B-GR-OU3033, B-GR-OU3034;NO;99;51;Mammal;Bulk bone
BBO016BR1_2_s_2;Aves12S;BBO016BR1;BBO016;L2;2021;B-GR-OU3006, B-GR-OU3012, B-S-OU3007, B-GR-OU3019, B-GR-OU3024, B-GR-OU3025, B-GR-OU3026, B-GR-OU3027, B-GR-OU3028;NO;99;51;Unidentifable;Bulk bone
BBO016BR1_s_1;Aves12S;BBO016BR1;BBO016;L2;2021;B-GR-OU3006, B-GR-OU3012, B-S-OU3007, B-GR-OU3019, B-GR-OU3024, B-GR-OU3025, B-GR-OU3026, B-GR-OU3027, B-GR-OU3028;NO;99;51;Unidentifable;Bulk bone
BBO016BR2_2_s_2;Aves12S;BBO016BR2;BBO016;L2;2021;B-GR-OU3006, B-GR-OU3012, B-S-OU3007, B-GR-OU3019, B-GR-OU3024, B-GR-OU3025, B-GR-OU3026, B-GR-OU3027, B-GR-OU3028;NO;99;51;Unidentifable;Bulk bone
BBO016BR2_s_1;Aves12S;BBO016BR2;BBO016;L2;2021;B-GR-OU3006, B-GR-OU3012, B-S-OU3007, B-GR-OU3019, B-GR-OU3024, B-GR-OU3025, B-GR-OU3026, B-GR-OU3027, B-GR-OU3028;NO;99;51;Unidentifable;Bulk bone
BBO016BR3_2_s_2;Aves12S;BBO016BR3;BBO016;L2;2021;B-GR-OU3006, B-GR-OU3012, B-S-OU3007, B-GR-OU3019, B-GR-OU3024, B-GR-OU3025, B-GR-OU3026, B-GR-OU3027, B-GR-OU3028;NO;99;51;Unidentifable;Bulk bone
BBO016BR3_s_1;Aves12S;BBO016BR3;BBO016;L2;2021;B-GR-OU3006, B-GR-OU3012, B-S-OU3007, B-GR-OU3019, B-GR-OU3024, B-GR-OU3025, B-GR-OU3026, B-GR-OU3027, B-GR-OU3028;NO;99;51;Unidentifable;Bulk bone
BBO019_2_s_2;Aves12S;BBO019NBR;BBO019;LU;2021;B-GR-OU4003;NO;99;51;Aves;Bulk bone
BBO019_s_1;Aves12S;BBO019NBR;BBO019;LU;2021;B-GR-OU4003;NO;99;51;Aves;Bulk bone
BBO021_2_s_2;Aves12S;BBO021NBR;BBO021;LU;2021;B-GR-OU4002, B-GR-OU4006, B-GR-OU4008, B-S-OU4005;NO;99;51;Unidentifable;Bulk bone
BBO021_s_1;Aves12S;BBO021NBR;BBO021;LU;2021;B-GR-OU4002, B-GR-OU4006, B-GR-OU4008, B-S-OU4005;NO;99;51;Unidentifable;Bulk bone
BBO025_2_s_2;Aves12S;BBO025NBR;BBO025;K1;2021;B-GR-OL2001, B-GR-OL2007;NO;99;51;Unidentifable;Bulk bone
BBO025_s_1;Aves12S;BBO025NBR;BBO025;K1;2021;B-GR-OL2001, B-GR-OL2007;NO;99;51;Unidentifable;Bulk bone
BBO026BR1_s_1;Aves12S;BBO026BR1;BBO026;K1;2021;B-GR-OL2003;NO;99;51;Unidentifable;Bulk bone
BBO026BR2_2_s_2;Aves12S;BBO026BR2;BBO026;K1;2021;B-GR-OL2003;NO;99;51;Unidentifable;Bulk bone
BBO026BR2_s_1;Aves12S;BBO026BR2;BBO026;K1;2021;B-GR-OL2003;NO;99;51;Unidentifable;Bulk bone
BBO035_2_s_2;Aves12S;BBO035NBR;BBO035;L1;2021;B-GR-OU2009, B-GR-OU2011;NO;99;51;Unidentifable;Bulk bone
BBO035_s_1;Aves12S;BBO035NBR;BBO035;L1;2021;B-GR-OU2009, B-GR-OU2011;NO;99;51;Unidentifable;Bulk bone
BBO202NBR;Aves12S;BBO202NBR;BBO202;L2;2022;B-GR-OL2009-1;NO;99;53;Aves;Bulk bone
BBO211NBR;Mamp007;BBO211NBR;BBO0211;L2;2022;B-GR-OL2011-4;NO;99;53;Mammal;Bulk bone
BBO215BR1;Aves12S;BBO215BR1;BBO215;Y1;2022;"B-GR-OY1004-2 ; B-GR-OY1003-1 ; B-GR-OY1013-1 ; B-GR-OY1008-1 ; B-GR-OY1007-1 ; B-GR-OY1010-1 ; B-GR-OY1009-1 ; B-GR-OY1002-4 ; B-GR-OY1006-2 ; B-GR-OY1014-1 ; B-GR-OY1012-1 ; B-GR-OY1015-1";NO;99;53;Unidentifable;Bulk bone
