Group.1;Primer;Lab_id;Sample_id;Layer;Year_excavated;Field_id;Cave;X_coord;Y_coord;Group;Type
BBO014BR1_s_1;Mamp007;BBO014BR1;BBO014;L2;2021;B-GR-OU3001, B-GR-OU3002, B-GR-OU3004, B-GR-OU3005, B-GR-OU3008, B-GR-OU3016, B-GR-OU3017-1, B-GR-OU3022, B-GR-OU3023, B-GR-OU3025, B-GR-OU3028, B-GR-OU3029, B-GR-OU3031, B-GR-OU3032, B-GR-OU3033, B-GR-OU3033, B-GR-OU3034;NO;99;51;Mammal;Bulk bone
BBO014BR1_s_2;Mamp007;BBO014BR2;BBO014;L2;2021;B-GR-OU3001, B-GR-OU3002, B-GR-OU3004, B-GR-OU3005, B-GR-OU3008, B-GR-OU3016, B-GR-OU3017-1, B-GR-OU3022, B-GR-OU3023, B-GR-OU3025, B-GR-OU3028, B-GR-OU3029, B-GR-OU3031, B-GR-OU3032, B-GR-OU3033, B-GR-OU3033, B-GR-OU3034;NO;99;51;Mammal;Bulk bone
BBO014BR2_s_1;Mamp007;BBO014BR2;BBO014;L2;2021;B-GR-OU3001, B-GR-OU3002, B-GR-OU3004, B-GR-OU3005, B-GR-OU3008, B-GR-OU3016, B-GR-OU3017-1, B-GR-OU3022, B-GR-OU3023, B-GR-OU3025, B-GR-OU3028, B-GR-OU3029, B-GR-OU3031, B-GR-OU3032, B-GR-OU3033, B-GR-OU3033, B-GR-OU3034;NO;99;51;Mammal;Bulk bone
BBO014BR2_s_2;Mamp007;BBO014BR1;BBO014;L2;2021;B-GR-OU3001, B-GR-OU3002, B-GR-OU3004, B-GR-OU3005, B-GR-OU3008, B-GR-OU3016, B-GR-OU3017-1, B-GR-OU3022, B-GR-OU3023, B-GR-OU3025, B-GR-OU3028, B-GR-OU3029, B-GR-OU3031, B-GR-OU3032, B-GR-OU3033, B-GR-OU3033, B-GR-OU3034;NO;99;51;Mammal;Bulk bone
BBO014BR3_s_1;Mamp007;BBO014BR3;BBO014;L2;2021;B-GR-OU3001, B-GR-OU3002, B-GR-OU3004, B-GR-OU3005, B-GR-OU3008, B-GR-OU3016, B-GR-OU3017-1, B-GR-OU3022, B-GR-OU3023, B-GR-OU3025, B-GR-OU3028, B-GR-OU3029, B-GR-OU3031, B-GR-OU3032, B-GR-OU3033, B-GR-OU3033, B-GR-OU3034;NO;99;51;Mammal;Bulk bone
BBO014BR3_s_2;Mamp007;BBO014BR3;BBO014;L2;2021;B-GR-OU3001, B-GR-OU3002, B-GR-OU3004, B-GR-OU3005, B-GR-OU3008, B-GR-OU3016, B-GR-OU3017-1, B-GR-OU3022, B-GR-OU3023, B-GR-OU3025, B-GR-OU3028, B-GR-OU3029, B-GR-OU3031, B-GR-OU3032, B-GR-OU3033, B-GR-OU3033, B-GR-OU3034;NO;99;51;Mammal;Bulk bone
BBO016BR1_s_1;Mamp007;BBO016BR1;BBO016;L2;2021;B-GR-OU3006, B-GR-OU3012, B-S-OU3007, B-GR-OU3019, B-GR-OU3024, B-GR-OU3025, B-GR-OU3026, B-GR-OU3027, B-GR-OU3028;NO;99;51;Unidentified;Bulk bone
BBO016BR1_s_2;Mamp007;BBO016BR1;BBO016;L2;2021;B-GR-OU3006, B-GR-OU3012, B-S-OU3007, B-GR-OU3019, B-GR-OU3024, B-GR-OU3025, B-GR-OU3026, B-GR-OU3027, B-GR-OU3028;NO;99;51;Unidentified;Bulk bone
BBO016BR2_s_1;Mamp007;BBO016BR2;BBO016;L2;2021;B-GR-OU3006, B-GR-OU3012, B-S-OU3007, B-GR-OU3019, B-GR-OU3024, B-GR-OU3025, B-GR-OU3026, B-GR-OU3027, B-GR-OU3028;NO;99;51;Unidentified;Bulk bone
BBO016BR2_s_2;Mamp007;BBO016BR2;BBO016;L2;2021;B-GR-OU3006, B-GR-OU3012, B-S-OU3007, B-GR-OU3019, B-GR-OU3024, B-GR-OU3025, B-GR-OU3026, B-GR-OU3027, B-GR-OU3028;NO;99;51;Unidentified;Bulk bone
BBO016BR3_s_1;Mamp007;BBO016BR3;BBO016;L2;2021;B-GR-OU3006, B-GR-OU3012, B-S-OU3007, B-GR-OU3019, B-GR-OU3024, B-GR-OU3025, B-GR-OU3026, B-GR-OU3027, B-GR-OU3028;NO;99;51;Unidentified;Bulk bone
